feature1,feature2,feature3,feature4,feature5,feature6,agent1,agent2,target
118,20,320,420,518,60,0,0,37
118,20,320,420,518,60,37,0,38
118,20,320,420,518,60,38,37,95
118,20,320,420,518,60,95,38,96
118,20,320,420,518,60,96,95,96
10,20,321,421,519,60,0,0,2
10,20,321,421,519,60,2,0,27
10,20,321,421,519,60,27,2,28
10,20,321,421,519,60,28,27,27
10,20,321,421,519,60,27,28,17
10,20,321,421,519,60,17,27,1
10,20,321,421,519,60,1,17,2
10,20,321,421,519,60,2,1,88
10,20,321,421,519,60,88,2,33
10,20,321,421,519,60,33,88,88
10,20,321,421,519,60,88,33,21
10,20,321,421,519,60,21,88,2
10,20,321,421,519,60,2,21,1
10,20,321,421,519,60,1,2,23
10,20,321,421,519,60,23,1,21
10,20,321,421,519,60,21,23,2
10,20,321,421,519,60,2,21,2
10,20,321,421,519,60,2,2,71
10,20,321,421,519,60,71,2,90
119,20,322,422,520,60,0,0,20
119,20,322,422,520,60,20,0,17
120,20,323,423,521,60,0,0,16
120,20,323,423,521,60,16,0,16
120,20,323,423,521,60,16,16,40
120,20,323,423,521,60,40,16,16
120,20,323,423,521,60,16,40,40
120,20,323,423,521,60,40,16,40
120,20,323,423,521,60,40,40,16
120,20,323,423,521,60,16,40,16
120,20,323,423,521,60,16,16,16
120,20,323,423,521,60,16,16,40
120,20,323,423,521,60,40,16,16
120,20,323,423,521,60,16,40,16
120,20,323,423,521,60,16,16,40
120,20,323,423,521,60,40,16,16
120,20,323,423,521,60,16,40,16
120,20,323,423,521,60,16,16,40
120,20,323,423,521,60,40,16,16
120,20,323,423,521,60,16,40,40
120,20,323,423,521,60,40,16,16
120,20,323,423,521,60,16,40,16
120,20,323,423,521,60,16,16,16
120,20,323,423,521,60,16,16,16
120,20,324,424,522,60,0,0,59
120,20,324,424,522,60,59,0,59
120,20,324,424,522,60,59,59,59
120,20,324,424,522,60,59,59,13
120,20,324,424,522,60,13,59,13
120,20,324,424,522,60,13,13,34
120,20,324,424,522,60,34,13,37
120,20,324,424,522,60,37,34,34
120,20,324,424,522,60,34,37,34
120,20,324,424,522,60,34,34,92
120,20,324,424,522,60,92,34,51
120,20,324,424,522,60,51,92,51
120,20,324,424,522,60,51,51,97
120,20,324,424,522,60,97,51,34
120,20,324,424,522,60,34,97,34
120,20,324,424,522,60,34,34,37
120,20,324,424,522,60,37,34,34
120,20,324,424,522,60,34,37,34
120,20,324,424,522,60,34,34,34
120,20,324,424,522,60,34,34,51
120,20,324,424,522,60,51,34,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,97
120,20,324,424,522,60,97,51,34
120,20,324,424,522,60,34,97,34
120,20,324,424,522,60,34,34,51
120,20,324,424,522,60,51,34,97
120,20,324,424,522,60,97,51,98
120,20,324,424,522,60,98,97,97
120,20,324,424,522,60,97,98,51
120,20,324,424,522,60,51,97,34
120,20,324,424,522,60,34,51,34
120,20,324,424,522,60,34,34,92
120,20,324,424,522,60,92,34,51
120,20,324,424,522,60,51,92,34
120,20,324,424,522,60,34,51,34
120,20,324,424,522,60,34,34,51
120,20,324,424,522,60,51,34,97
120,20,324,424,522,60,97,51,97
120,20,324,424,522,60,97,97,51
120,20,324,424,522,60,51,97,98
120,20,324,424,522,60,98,51,97
120,20,324,424,522,60,97,98,51
120,20,324,424,522,60,51,97,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,34
120,20,324,424,522,60,34,51,97
120,20,324,424,522,60,97,34,51
120,20,324,424,522,60,51,97,51
120,20,324,424,522,60,51,51,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,92
120,20,324,424,522,60,92,51,92
120,20,324,424,522,60,92,92,92
120,20,324,424,522,60,92,92,92
120,20,324,424,522,60,92,92,51
120,20,324,424,522,60,51,92,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,51
